Sample Distribution Analysis Log
==================================================

Dataset Summary:
Total Labels: 49
Label: AveriaLibre-Regular, Samples: 6005
Label: AveriaLibre-Italic, Samples: 6005
Label: BalsamiqSans-Bold, Samples: 5967
Label: Amita-Bold, Samples: 5976
Label: AnekBangla[wdth,wght], Samples: 6000
Label: BalsamiqSans-Italic, Samples: 5956
Label: Alef-Regular, Samples: 6005
Label: Aleo-Italic[wght], Samples: 5986
Label: Atma-Regular, Samples: 5962
Label: Armata-Regular, Samples: 6004
Label: Anuphan[wght], Samples: 6005
Label: Anybody[wdth,wght], Samples: 5945
Label: AdventPro-Italic[wdth,wght], Samples: 5988
Label: BalooBhaina2[wght], Samples: 6005
Label: AveriaLibre-BoldItalic, Samples: 6005
Label: Almendra-BoldItalic, Samples: 5734
Label: Aleo[wght], Samples: 5992
Label: BarlowSemiCondensed-BlackItalic, Samples: 5859
Label: Almendra-Regular, Samples: 5610
Label: Asap[wdth,wght], Samples: 5997
Label: Anybody-Italic[wdth,wght], Samples: 5980
Label: AnnapurnaSIL-Bold, Samples: 5952
Label: Atma-Light, Samples: 5960
Label: Alef-Bold, Samples: 6005
Label: Atma-Bold, Samples: 5914
Label: Alice-Regular, Samples: 5915
Label: Alike-Regular, Samples: 5844
Label: AveriaLibre-LightItalic, Samples: 6008
Label: Almendra-Italic, Samples: 5882
Label: Afacad-Italic[wght], Samples: 6131
Label: AnnapurnaSIL-Regular, Samples: 5958
Label: Atma-SemiBold, Samples: 5932
Label: Afacad[wght], Samples: 6196
Label: BalsamiqSans-Regular, Samples: 5972
Label: Assistant[wght], Samples: 5998
Label: Almendra-Bold, Samples: 5538
Label: BarlowSemiCondensed-Black, Samples: 5947
Label: BalsamiqSans-BoldItalic, Samples: 5970
Label: Atma-Medium, Samples: 5954
Label: AdventPro[wdth,wght], Samples: 5987
Label: Asap-Italic[wdth,wght], Samples: 5990
Label: Allerta-Regular, Samples: 6005
Label: Amita-Regular, Samples: 6131
Label: AveriaLibre-Light, Samples: 6004
Label: AverageSans-Regular, Samples: 5984
Label: AreYouSerious-Regular, Samples: 4740
Label: AbyssinicaSIL-Regular, Samples: 5976
Label: Akronim-Regular, Samples: 12533
Label: AveriaLibre-Bold, Samples: 6005
