,AbyssinicaSIL-Regular,"AdventPro-Italic[wdth,wght]","AdventPro[wdth,wght]",Afacad-Italic[wght],Afacad[wght],Akronim-Regular,Alef-Bold,Alef-Regular,Aleo-Italic[wght],Aleo[wght],Alice-Regular,Alike-Regular,Allerta-Regular,Almendra-Bold,Almendra-BoldItalic,Almendra-Italic,Almendra-Regular,Amita-Bold,Amita-Regular,"AnekBangla[wdth,wght]",AnnapurnaSIL-Bold,AnnapurnaSIL-Regular,Anuphan[wght],"Anybody-Italic[wdth,wght]","Anybody[wdth,wght]",AreYouSerious-Regular,Armata-Regular,"Asap-Italic[wdth,wght]","Asap[wdth,wght]",Assistant[wght],Atma-Bold,Atma-Light,Atma-Medium,Atma-Regular,Atma-SemiBold,AverageSans-Regular,AveriaLibre-Bold,AveriaLibre-BoldItalic,AveriaLibre-Italic,AveriaLibre-Light,AveriaLibre-LightItalic,AveriaLibre-Regular,BalooBhaina2[wght],BalsamiqSans-Bold,BalsamiqSans-BoldItalic,BalsamiqSans-Italic,BalsamiqSans-Regular,BarlowSemiCondensed-Black,BarlowSemiCondensed-BlackItalic
AbyssinicaSIL-Regular,83,0,0,0,1,1,0,12,4,57,34,7,20,0,0,75,6,17,38,8,35,134,15,0,0,2,8,1,23,0,0,0,187,8,2,0,2,3,1,9,17,24,31,0,30,1,1,0,0
"AdventPro-Italic[wdth,wght]",0,44,221,0,0,7,0,1,1,3,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,12,141,1,4,3,0,350,4,49,0,0,0,0,1,0,0,0,5,0,43,0,1,0,0
"AdventPro[wdth,wght]",0,6,388,2,1,2,0,3,1,1,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,2,204,8,4,0,0,107,1,116,0,11,0,0,0,0,0,0,7,0,29,0,0,0,0
Afacad-Italic[wght],1,0,0,23,47,1,1,40,7,9,0,0,0,0,0,4,1,0,1,50,0,1,48,0,0,2,50,31,77,0,0,0,22,17,0,0,4,22,0,0,4,12,304,0,39,10,91,1,0
Afacad[wght],3,0,3,13,91,0,1,32,3,4,0,0,20,0,0,0,0,0,0,66,0,0,19,0,0,0,37,6,129,1,0,0,15,7,4,27,25,3,0,1,1,14,251,1,27,1,125,0,0
Akronim-Regular,3,0,7,0,10,1573,0,0,0,0,0,0,0,0,20,53,0,9,15,0,0,0,0,0,0,0,9,0,5,5,31,13,20,0,10,0,8,0,0,0,0,0,0,19,53,0,0,2,15
Alef-Bold,0,0,0,0,0,0,81,0,0,0,0,0,103,0,0,0,0,0,0,11,32,0,0,0,0,0,0,0,0,0,21,0,13,0,164,0,183,13,0,0,0,3,0,157,76,0,9,35,0
Alef-Regular,1,0,1,0,3,0,0,68,4,15,1,0,24,0,0,0,0,0,0,76,0,1,13,0,0,0,78,10,123,0,0,0,34,1,3,28,15,1,0,1,0,24,242,0,39,0,95,0,0
Aleo-Italic[wght],10,4,2,0,0,0,0,29,32,168,3,4,6,0,0,5,1,2,0,49,2,35,43,0,0,6,86,43,93,0,0,0,31,8,1,7,11,0,1,0,2,5,161,0,21,4,23,0,0
Aleo[wght],13,2,1,0,1,0,0,73,7,150,3,0,28,0,0,0,0,0,0,70,4,42,30,0,0,0,82,41,103,0,0,0,29,1,0,15,0,0,0,0,7,16,114,0,31,2,34,0,0
Alice-Regular,87,0,0,0,0,0,0,0,1,64,153,11,3,0,0,110,59,96,20,15,50,78,1,0,0,19,2,0,17,0,1,0,35,3,2,0,1,6,4,3,6,4,2,0,35,0,0,0,0
